Hieroglyph	Gardiner's gloss	Proposed concept(s)/NA	Plausible administrative records concept
𓂺	phallus with emission	urinate	No
𓂻	legs walking	legs, walk	No
𓂼	hieratic legs walking		No
𓂽	legs walking backwards		No
𓂾	leg	leg	No
𓂿	leg with knife	foot	No
𓃀	foot		No
𓃁	foot and forearm		No
𓃂	foot under vase from which water flows		No
𓃃	three toes oriented leftward	toe	No
𓃄	three toes oriented rightward		No
𓃅	two toes oriented leftward		No
𓃆	hand with palm down		No
𓃇	lock of hair		No
𓃈	arm with reed pen	pen	Yes
𓃉	one dot	dot	No
𓃊	two dots		No
𓃋	three dots		No
𓃌	four dots		No
𓃍	five dots		No
𓃎	six dots		No
𓃏	seven dots		No
𓃐	eight dots		No
𓃑	nine dots		No
𓃒	bull	bull	Yes
𓃓	bull charging	charge	No
𓃔	calf	calf	Yes
𓃕	sacred cow	cow	Yes
𓃖	cow suckling calf		No
𓃗	horse	horse	Yes
𓃘	donkey	donkey	Yes
𓃙	kid	kid	Yes
𓃚	kid jumping	jump	No
𓃛	newborn hartebeest	hartebeest	No
𓃜	mature bovine lying down	bovine	Yes
𓃝	ram	ram	Yes
𓃞	ram		No
𓃟	pig	pig	Yes
𓃠	cat	cat	Yes
𓃡	dog	dog	Yes
𓃢	lying canine	canine	Yes
𓃣	lying canine on shrine		No
𓃤	lying canine on shrine with flagellum		No
𓃥	jackal	jackal	No
𓃦	jackal looking back		No
𓃧	wolf on standard	wolf	No
𓃨	wolf on standard with mace		No
𓃩	Set-animal		No
𓃪	Set-animal on basket		No
𓃫	lying Set-animal		No
𓃬	lion	lion	No
𓃭	lying lion		No
𓃮	panther	panther	No
𓃯	hippopotamus	hippopotamus	No
𓃰	elephant	elephant	Yes
𓃱	giraffe	giraffe	Yes
𓃲	oryx	oryx	Yes
𓃳	oryx with irrigation system		No
𓃴	gazelle	gazelle	Yes
𓃵	ibex	ibex	Yes
𓃶	goat with collar	goat	Yes
𓃷	baboon	baboon	Yes
𓃸	monkey	monkey	Yes
𓃹	hare	hare	Yes
𓃺	hare (low)		No
𓃻	baboon		No
𓃼	baboon with receptacle and basket		No
𓃽	long-horned bull	bull	Yes
𓃾	ox head	ox, ox head	Yes
𓃿	bovine head	bovine head	Yes
𓄀	charging ox head	charge	No
𓄁	hippopotamus head		No
𓄂	forepart of lion		No
𓄃	hartebeest head		No
𓄄	forepart of hartebeest		No
𓄅	ram head		No
𓄆	forepart of ram		No
𓄇	leopard head		No
𓄈	head and neck of animal	head, neck	No
𓄉	head and neck of animal		No
𓄊	head and neck of animal		No
𓄋	horns	horn	Yes
𓄌	horns		No
𓄍	horns with palm branch		No
𓄎	horns with palm branch and sun		No
𓄏	horn		No
𓄐	horn and vase from which water flows		No
𓄑	tusk	tusk	Yes
𓄒	lower jaw-bone of ox	jaw	No
𓄓	tongue	tongue	No
𓄔	ear of bovine	ear	No
𓄕	hieratic ear of bovine		No
𓄖	hind-quarters of lion	hindquarters	No
𓄗	foreleg of ox	foreleg	No
𓄘	F23 reversed		No
𓄙	leg of ox		No
𓄚	skin of goat	skin	Yes
𓄛	skin of cow with bent tail		No
𓄜	skin of cow with straight tail		No
𓄝	cow's skin pierced by arrow		No
𓄞	water- skin	waterskin	Yes
𓄟	three skins tied together		No
𓄠	three skins tied together		No
𓄡	animal's belly	belly	No
𓄢	tail	tail	No
𓄣	heart	heart	No
𓄤	heart and windpipe	windpipe	No
𓄥	lung and windpipe	lung	No
𓄦	backbone and ribs and spinal cord	backbone, ribs, spinal cord	No
𓄧	backbone and ribs		No
𓄨	backbone and ribs		No
𓄩	backbone and ribs and spinal cord		No
𓄪	backbone and spinal cord		No
𓄫	backbone and spinal cords		No
𓄬	vertebrae	vertebrae	No
𓄭	rib	rib	No
𓄮	ribs		No
𓄯	bone with meat	bone, meat	Yes
𓄰	uterus	uterus	No
𓄱	uterus		No
𓄲	intestine	intestine	No
𓄳	intestine		No
𓄴	intestine		No
𓄵	intestine		No
𓄶	intestine		No
𓄷	intestine		No
𓄸	combination of F46 and S29		No
𓄹	piece of flesh	flesh	Yes
𓄺	three pieces of flesh horizontally		No
𓄻	three pieces of flesh vertically		No
𓄼	F51 reversed		No
𓄽	excrement	excrement	No
𓄾	divine rod with ram head		No
𓄿	Egyptian vulture	Egyptian vulture	Yes
𓅀	two Egyptian vultures		No
𓅁	combination of Egyptian vulture and sickle		No
𓅂	buzzard	buzzard	Yes
𓅃	falcon	falcon	Yes
𓅄	combination of falcon and flaggellum		No
𓅅	falcon on basket		No
𓅆	falcon on standard		No
𓅇	falcon in boat		No
𓅈	falcon in boat		No
𓅉	falcon on collar of beads		No
𓅊	falcon with sun on head		No
𓅋	falcon in Sokar barque		No
𓅌	image of falcon		No
𓅍	image of falcon on standard		No
𓅎	combination of image of falcon and flagellum		No
𓅏	image of falcon with two plumes		No
𓅐	vulture	vulture	Yes
𓅑	combination of vulture and flagellum		No
𓅒	vulture and cobra each on a basket		No
𓅓	owl	owl	Yes
𓅔	two owls		No
𓅕	combination of owl and forearm with conical loaf		No
𓅖	combination of owl and forearm		No
𓅗	combination of owl and mouth		No
𓅘	guinea-fowl	guinea-fowl	Yes
𓅙	hoopoe	hoopoe	Yes
𓅚	lapwing	lapwing	Yes
𓅛	lapwing with twisted wings		No
𓅜	northern bald ibis	ibis	Yes
𓅝	sacred Ibis on standard		No
𓅞	sacred Ibis		No
𓅟	flamingo	flamingo	Yes
𓅠	glossy ibis	glossy ibis	Yes
𓅡	saddle-billed stork	stork	Yes
𓅢	three saddle-billed storks		No
𓅣	heron	heron	Yes
𓅤	heron on perch		No
𓅥	cattle egret	egret	Yes
𓅦	ostrich	ostrich	Yes
𓅧	cormorant	cormorant	Yes
𓅨	swallow	swallow	Yes
𓅩	swallow (low)		No
𓅪	sparrow	sparrow	Yes
𓅫	sparrow (low)		No
𓅬	white-fronted goose	goose	Yes
𓅭	pintail	pintail, duck	Yes
𓅮	pintail flying	fly	No
𓅯	pintail alighting	landing	No
𓅰	widgeon	widgeon	Yes
𓅱	quail chick	quail, chick	Yes
𓅲	combination of quail chick and flat loaf		No
𓅳	two quail chicks		No
𓅴	combination of quail chick and forearm		No
𓅵	combination of quail chick and forearm with conical loaf		No
𓅶	combination of quail chick and sickle		No
𓅷	duckling	duckling	Yes
𓅸	three ducklings in nest		No
𓅹	three ducklings in pool		No
𓅺	two plovers	plover	Yes
𓅻	bird pecking at fish	feed	No
𓅼	goose picking up grain	feed	No
𓅽	human-headed bird with bowl with smoke		No
𓅾	plucked bird	pluck	No
𓅿	head of pintail		No
𓆀	head of crested bird		No
𓆁	head of spoonbill		No
𓆂	head of vulture		No
𓆃	wing	wing	No
𓆄	feather	feather	Yes
𓆅	hieratic feather		No
𓆆	claw	claw	No
𓆇	egg	egg	Yes
𓆈	gecko	gecko	Yes
𓆉	turtle	turtle, tortoise	Yes
𓆊	crocodile	crocodile	Yes
𓆋	crocodile on shrine		No
𓆌	crocodile with curved tail		No
𓆍	image of crocodile		No
𓆎	crocodile scales	scale	No
𓆏	frog	frog	Yes
𓆐	tadpole	tadpole	Yes
𓆑	horned viper	horned viper, viper	Yes
𓆒	horned viper crawling out of enclosure	crawl	No
𓆓	cobra	cobra	Yes
𓆔	cobra with feather		No
𓆕	two cobras		No
𓆖	combination of cobra, flat loaf and sandy tract		No
𓆗	erect cobra	erect	No
𓆘	erect cobra on basket		No
𓆙	snake	snake	Yes
𓆚	snake		No
𓆛	tilapia	tilapia	Yes
𓆜	barbel	barbel	Yes
𓆝	mullet	mullet	Yes
𓆞	elephant-snout fish	fish	Yes
𓆟	Petrocephalus bane	petrocephalus	Yes
𓆠	fish scale	scale	No
𓆡	puffer	pufferfish	Yes
𓆢	catfish	catfish	Yes
𓆣	dung beetle	beetle, scarab	Yes
𓆤	bee	bee	Yes
𓆥	combination of bee, sedge and two flat loafs		No
𓆦	fly	fly	Yes
𓆧	locust	locust	Yes
𓆨	centipede	centipede	Yes
𓆩	shell	shell, mollusk, snail	Yes
𓆪	L6 reversed		No
𓆫	scorpion	scorpion	Yes
𓆬	UNGLOSSED		No
𓆭	tree	tree	Yes
𓆮	combination of tree and branch		No
𓆯	combination of tree and horned viper		No
𓆰	plant	plant	Yes
𓆱	branch	branch	Yes
𓆲	combination of owl and branch		No
𓆳	palm branch	palm tree	Yes
𓆴	combination of palm branch and flat loaf		No
𓆵	combination of palm branch and mouth		No
𓆶	combination of palm branch and stool		No
𓆷	pool with lotus flowers	lotus, pool	Yes
𓆸	lotus flower	flower	Yes
𓆹	lotus bud with straight stem	bud, stem	Yes
𓆺	lotus bud with winding stem		No
𓆻	flower on long twisted stalk		No
𓆼	one lotus plant		No
𓆽	two lotus plants		No
𓆾	three lotus plants		No
𓆿	four lotus plants		No
𓇀	five lotus plants		No
𓇁	six lotus plants		No
𓇂	seven lotus plants		No
𓇃	eight lotus plants		No
𓇄	nine lotus plants		No
𓇅	papyrus stem	papyrus, reed	Yes
𓇆	combination of papyrus and cobra		No
𓇇	clump of papyrus with buds		No
𓇈	combination of clump of papyrus with buds and village		No
𓇉	clump of papyrus		No
𓇊	combination of clump of papyrus and village		No
𓇋	reed	reed	Yes
𓇌	two reeds		No
𓇍	combination of reed and legs walking		No
𓇎	heaped conical cakes between reed and club		No
𓇏	field of reeds	field	Yes
𓇐	reeds with root	root	Yes
𓇑	rush	rush	Yes
𓇒	two rushes		No
𓇓	sedge	sedge	Yes
𓇔	combination of sedge and mouth		No
𓇕	lily	lily	Yes
𓇖	combination of flowering sedge and mouth		No
𓇗	flowering sedge		No
𓇘	combination of flowering sedge and forearm		No
𓇙	combination of flowering sedge and hobble		No
𓇚	three lilies on village		No
𓇛	seed-pod	seed pod, seed	Yes
𓇜	root	root	Yes
𓇝	rhizome	rhizome	Yes
𓇞	tree in vase	tree, vase	Yes
𓇟	rhizome		No
𓇠	3 grains horizontally		No
𓇡	3 grains vertically		No
𓇢	3 grains in triangular arrangement		No
𓇣	ear of emmer	emmer, ear of grain	Yes
𓇤	stack (of grain)	stack of grain	Yes
𓇥	bundle of flax	flax	Yes
𓇦	bundle of flax		No
𓇧	wide bundle of flax		No
𓇨	basket of fruit or grain	basket	Yes
𓇩	bundle of reeds	bundle	Yes
𓇪	bundle of reeds		No
𓇫	piece of wood	wood	Yes
𓇬	flower		No
𓇭	vine on trellis	vine	Yes
𓇮	thorn	thorn	Yes
𓇯	sky	sky	No
𓇰	sky with sceptre		No
𓇱	sky with sceptre		No
𓇲	sky with rain	rain	No
𓇳	sun	sun	Yes
𓇴	sun with uraeus		No
𓇵	combination of sun and butcher's block		No
𓇶	sunshine	sunshine	No
𓇷	moon with lower half obscured	moon	Yes
𓇸	moon with lower section obscured		No
𓇹	crescent moon	crescent	No
𓇺	crescent moon		No
𓇻	combination of crescent moon and star		No
𓇼	star	star	Yes
𓇽	star in circle		No
𓇾	land with grains		No
𓇿	land	land	Yes
𓈀	sandy tract	sand	Yes
𓈁	combination of sandy tract and ripple of water		No
𓈂	combination of roll of bread and bolt		No
𓈃	two sandy tracts		No
𓈄	tongue of land		No
𓈅	short tongue of land		No
𓈆	broad tongue of land		No
𓈇	irrigation canal	canal	Yes
𓈈	irrigation canal system	canal system	Yes
𓈉	three hills	hill, hills	Yes
𓈊	three hills (low)		No
𓈋	two hills		No
𓈌	sun over mountain	mountain, dawn	Yes
𓈍	rays of sun over hill		No
𓈎	slope of hill	hill, slope	Yes
𓈏	mound of earth	mound	Yes
𓈐	road with shrubs		No
𓈑	lump of clay	clay	Yes
𓈒	grain	grain	Yes
𓈓	three grains		No
𓈔	ingot of metal	ingot	Yes
𓈕	ingot of metal		No
𓈖	ripple of water	water, ripple, wave	Yes
𓈗	three ripples of water		No
𓈘	canal	canal	Yes
𓈙	pool	pool	Yes
𓈚	pool		No
𓈛	deep pool		No
𓈜	pool with water		No
𓈝	pool with legs		No
𓈞	well with ripple of water		No
𓈟	well with line of water		No
𓈠	UNGLOSSED		No
𓈡	UNGLOSSED		No
𓈢	UNGLOSSED		No
𓈣	UNGLOSSED		No
𓈤	UNGLOSSED		No
𓈥	UNGLOSSED		No
𓈦	UNGLOSSED		No
𓈧	UNGLOSSED		No
𓈨	UNGLOSSED		No
𓈩	UNGLOSSED		No
𓈪	UNGLOSSED		No
𓈫	UNGLOSSED		No
𓈬	UNGLOSSED		No
𓈭	UNGLOSSED		No
𓈮	UNGLOSSED		No
𓈯	UNGLOSSED		No
𓈰	UNGLOSSED		No
𓈱	UNGLOSSED		No
𓈲	UNGLOSSED		No
𓈳	UNGLOSSED		No
𓈴	UNGLOSSED		No
𓈵	UNGLOSSED		No
𓈶	UNGLOSSED		No
𓈷	UNGLOSSED		No
𓈸	UNGLOSSED		No
𓈹	UNGLOSSED		No
𓈺	UNGLOSSED		No
𓈻	UNGLOSSED		No
𓈼	UNGLOSSED		No
𓈽	UNGLOSSED		No
𓈾	UNGLOSSED		No
𓈿	UNGLOSSED		No
𓉀	UNGLOSSED		No
𓉁	UNGLOSSED		No
𓉂	UNGLOSSED		No
𓉃	UNGLOSSED		No
𓉄	UNGLOSSED		No
𓉅	UNGLOSSED		No
𓉆	UNGLOSSED		No
𓉇	UNGLOSSED		No
𓉈	UNGLOSSED		No
𓉉	UNGLOSSED		No
𓉊	UNGLOSSED		No
𓉋	UNGLOSSED		No
𓉌	UNGLOSSED		No
𓉍	UNGLOSSED		No
𓉎	UNGLOSSED		No
𓉏	UNGLOSSED		No
𓉐	house	house	Yes
𓉑	combination of house and ankh		No
𓉒	combination of house and mace with round head		No
𓉓	combination of house, oar, tall loaf and beer jug		No
𓉔	shelter	shelter	Yes
𓉕	winding wall from upper-left corner	wall	Yes
𓉖	winding wall from lower-left corner		No
𓉗	enclosure	enclosure	Yes
𓉘	opening of ḥwt-enclosure		No
𓉙	opening of ḥwt-enclosure		No
𓉚	opening of ḥwt-enclosure		No
𓉛	closing of ḥwt-enclosure		No
𓉜	closing of ḥwt-enclosure		No
𓉝	closing of ḥwt-enclosure		No
𓉞	combination of enclosure and flat loaf		No
𓉟	combination of enclosure, flat loaf and wooden column		No
𓉠	combination of enclosure, flat loaf and basket		No
𓉡	combination of enclosure and falcon		No
𓉢	combination of enclosure and ankh		No
𓉣	combination of enclosure and bee		No
𓉤	combination of shrine in profile and face	shrine	Yes
𓉥	palace	palace	Yes
𓉦	combination of palace and forearm		No
𓉧	battlemented enclosure	battlement, fort	Yes
𓉨	part of battlemented enclosure		No
𓉩	enclosure with cup and flat loaf		No
𓉪	gateway with serpents	gate, gateway	Yes
𓉫	open gateway with serpents		No
𓉬	shrine in profile		No
𓉭	shrine with fence	fence	Yes
𓉮	shrine		No
𓉯	shrine		No
𓉰	shrine		No
𓉱	façade of shrine		No
𓉲	booth with pole	booth	Yes
𓉳	double platform	platform	Yes
𓉴	pyramid	pyramid	Yes
𓉵	pedestal of sun temple	pedestal	Yes
𓉶	obelisk	obelisk	Yes
𓉷	obelisk and pedestal of sun temple		No
𓉸	stela	stela	Yes
𓉹	hall of columns	column, hall	Yes
𓉺	column	column	Yes
𓉻	horizontal wooden column		No
𓉼	vertical wooden column		No
𓉽	support	support	Yes
𓉾	four supports		No
𓉿	door		No
𓊀	gateway	gate, gateway	Yes
𓊁	façade of palace		No
𓊂	closing of srḫ-enclosure		No
𓊃	door bolt	door, door bolt	Yes
𓊄	combination of bolt and legs		No
𓊅	wall	wall	Yes
𓊆	opening of oval fortified wall enclosure		No
𓊇	closing of oval fortified wall enclosure		No
𓊈	opening of square fortified wall enclosure	enclosure	Yes
𓊉	closure of square fortified wall enclosure		No
𓊊	falling wall	collapse	No
𓊋	corner of wall	corner	Yes
𓊌	stone	stone	Yes
𓊍	stair single	stair	Yes
𓊎	double stairway		No
𓊏	fence	fence	Yes
𓊐	low fence		No
𓊑	emblem of Min		No
𓊒	domed building	dome, building	Yes
𓊓	domed building		No
𓊔	enclosed mound	mound	Yes
𓊕	enclosed mound		No
𓊖	village	village	Yes
𓊗	threshing floor	thresh, threshing floor	Yes
𓊘	hieratic threshing floor		No
𓊙	O50A reversed		No
𓊚	pile of grain	pile	Yes
𓊛	boat	boat	Yes
𓊜	boat upside down	capsize	No
𓊝	ship under sail	ship	Yes
𓊞	sacred barque		No
𓊟	sacred barque without steering oar		No
𓊠	boat with net	boat, net, fishing	Yes
𓊡	sail	sail	Yes
𓊢	mast 	mast	Yes
𓊣	combination of mast and forearm		No
𓊤	oar	oar	Yes
𓊥	combination of oar and horned viper		No
𓊦	rudder	rudder	Yes
𓊧	mooring post	mooring post, moor	Yes
𓊨	seat throne	throne, seat	Yes
𓊩	carrying chair	chair, carry	Yes
𓊪	stool	stool	Yes
𓊫	headrest	headrest, pillow	Yes
𓊬	chest	chest, trunk	Yes
𓊭	sarcophagus	sarcophagus, coffin	Yes
𓊮	brazier	brazier	Yes
𓊯	high table with offerings	offering	Yes
𓊰	table with slices of bread		No
𓊱	high table with offerings		No
𓊲	low table with offerings		No
𓊳	low table	table	Yes
𓊴	low table with offerings (simplified)		No
𓊵	loaf on mat		No
𓊶	narrow censer	censer	Yes
𓊷	broad censer		No
𓊸	bowl with smoke	bowl, smoke	Yes
𓊹	Cloth on pole	pole, cloth, flag	Yes
𓊺	combination of cloth on pole and bag		No
𓊻	combination of cloth on pole, butcher's block and slope of hill		No
𓊼	combination of cloth on pole and butcher's block		No
𓊽	reed column		No
𓊾	standard		No
𓊿	falcon and feather on standard		No
𓋀	Emblem of the West	west	No
𓋁	spear, Emblem of the East	east	No
𓋂	sceptre with feathers and string	scepter	Yes
𓋃	sceptre with feathers		No
𓋄	wig on pole	wig	Yes
𓋅	combination of wig on pole and irrigation canal system		No
𓋆	scepter with feather		No
𓋇	flower with horns		No
𓋈	flower with horns		No
𓋉	two narrow belemnites		No
𓋊	two broad belemnites		No
𓋋	two bows tied horizontally	bow, rope	Yes
𓋌	two bows tied vertically		No
𓋍	combination of land, lung and windpipe, lily, and papyrus		No
𓋎	two arrows crossed over a shield	arrow, shield	Yes
𓋏	Bat	bat	No
𓋐	niche with serpent		No
𓋑	white crown	crown	Yes
𓋒	combination of white crown and basket		No
𓋓	combination of white crown and village		No
𓋔	red crown		No
𓋕	combination of red crown and basket		No
𓋖	Pschent Crown		No
𓋗	combination of Pschent Crown and basket		No
𓋘	combination of red crown and village		No
𓋙	blue crown		No
𓋚	Atef crown		No
𓋛	shuti two-feather adornment	adornment	Yes
𓋜	headband	headband	Yes
𓋝	broad collar	collar	Yes
𓋞	collar of beads	collar, necklace	Yes
𓋟	combination of collar of beads and foot		No
𓋠	combination of collar of beads and mace with round head		No
𓋡	combination of collar of beads and sceptre		No
𓋢	combination of collar of beads and sceptre		No
𓋣	pectoral	pectorla	No
𓋤	pectoral		No
𓋥	pectoral		No
𓋦	girdle	girdle	Yes
𓋧	menat necklace and counterpoise		No
𓋨	seal with necklace	seal	Yes
𓋩	necklace with seal		No
𓋪	ring	ring	Yes
𓋫	shoulder-knot	knot	Yes
𓋬	two whips with shen ring	whip	Yes
𓋭	girdle knot		Yes
𓋮	garment with ties	garment	Yes
𓋯	apron	apron	No
𓋰	apron		No
𓋱	apron		No
𓋲	cloth with two strands	cloth	Yes
𓋳	cloth with fringe on top and folded cloth		No
𓋴	folded cloth	cloth, fold, sheet	Yes
𓋵	combination of folded cloth and horned viper		No
𓋶	combination of folded cloth and sickle		No
𓋷	cloth with fringe on the side		No
𓋸	sandal	sandal	Yes
𓋹	life ankh, possibly representing a sandal-strap	strap	Yes
𓋺	sunshade	sunshade, umbrella	Yes
𓋻	sunshade		No
𓋼	sunshade		No
𓋽	fan	fan	Yes
𓋾	crook	crook	Yes
𓋿	shepherd's crook		No
𓌀	wꜣssceptre (uꜣs)		No
𓌁	sceptre	scepter	Yes
𓌂	Sekhem scepter		No
𓌃	walking stick	walking stick	Yes
𓌄	walking stick with flagellum	flagellum, whip	Yes
𓌅	flagellum		No
𓌆	covering for head and neck	head covering, scarf	Yes
𓌇	mace with flat head	mace	Yes
𓌈	mace with round head		No
𓌉	mace with round head		No
𓌊	combination of mace with round head and two hills		No
𓌋	mace with strap		No
𓌌	combination of mace with round head and cobra		No
𓌍	combination of mace with round head and two cobras		No
𓌎	axe	axe	Yes
𓌏	axe		No
𓌐	dagger	dagger, knife	Yes
𓌑	dagger	bow	Yes
𓌒	bow		No
𓌓	bow		No
𓌔	composite bow		No
𓌕	arrow	arrow	Yes
𓌖	two crossed arrows		No
𓌗	bowstring	bowstring	Yes
𓌘	joined pieces of wood	wood	Yes
𓌙	throw stick vertically	throw stick	Yes
𓌚	throw stick slanted		No
𓌛	scimitar	scimitar	Yes
𓌜	scimitar		No
𓌝	chariot	chariot	Yes
𓌞	crook with package attached	crook	Yes
𓌟	harpoon head	harpoon head	Yes
𓌠	harpoon head		No
𓌡	harpoon	harpoon	Yes
𓌢	arrowhead	arrowhead	Yes
𓌣	arrowhead		No
𓌤	fishingnet	net, fishing net	Yes
𓌥	float	float	Yes
