Hieroglyph	Gardiner's gloss	Proposed concept(s)/NA	Plausible administrative records concept
𓌦	birdtrap	trap, birdtrap	Yes
𓌧	trap		No
𓌨	butcher's block	block, butcher's block	Yes
𓌩	butcher's block with knife		No
𓌪	knife	knife	Yes
𓌫	knife-sharpener	sharpener	Yes
𓌬	combination of knife and legs		No
𓌭	combination of knife and folded cloth		No
𓌮	knife-sharpener of butcher		No
𓌯	combination of knife-sharpener and folded cloth		No
𓌰	butcher's knife	butcher's knife	Yes
𓌱	butcher's knife		No
𓌲	shield	shield	Yes
𓌳	sickle	sickle	Yes
𓌴	sickle		No
𓌵	UNGLOSSED		No
𓌶	UNGLOSSED		No
𓌷	UNGLOSSED		No
𓌸	UNGLOSSED		No
𓌹	UNGLOSSED		No
𓌺	UNGLOSSED		No
𓌻	hoe	hoe	No
𓌼	UNGLOSSED		Yes
𓌽	UNGLOSSED		No
𓌾	grain measure (with plural, for grain particles)	measure	Yes
𓌿	UNGLOSSED		No
𓍀	UNGLOSSED		No
𓍁	UNGLOSSED		No
𓍂	UNGLOSSED		No
𓍃	sled (sledge)	sled	Yes
𓍄	sled with jackal head		No
𓍅	Pick, opening earth	pick	Yes
𓍆	UNGLOSSED		No
𓍇	UNGLOSSED		No
𓍈	UNGLOSSED		No
𓍉	adze- on-block	adze	Yes
𓍊	clapper-(of-bell) tool/instrument forked-staff, etc.	bell clapper	Yes
𓍋	chisel	chisel	Yes
𓍌	UNGLOSSED		No
𓍍	hand drill (hieroglyph)	drill	Yes
𓍎	UNGLOSSED		No
𓍏	UNGLOSSED		No
𓍐	UNGLOSSED		No
𓍑	fire-drill	fire drill	Yes
𓍒	UNGLOSSED		No
𓍓	UNGLOSSED		No
𓍔	kiln	kiln	Yes
𓍕	UNGLOSSED		No
𓍖	UNGLOSSED		No
𓍗	UNGLOSSED		No
𓍘	'pestle'-(curved top)	pestle	Yes
𓍙	UNGLOSSED		No
𓍚	UNGLOSSED		No
𓍛	fuller's-club		No
𓍜	UNGLOSSED		No
𓍝	scale	scale	Yes
𓍞	UNGLOSSED		No
𓍟	a support-(to lift)		No
𓍠	plummet	plummet, plumb line	Yes
𓍡	pitchfork	pitchfork	Yes
𓍢	UNGLOSSED	100	Yes
𓍣	UNGLOSSED	200	Yes
𓍤	UNGLOSSED	300	Yes
𓍥	UNGLOSSED	400	Yes
𓍦	UNGLOSSED	500	Yes
𓍧	UNGLOSSED	600	Yes
