# IPA-to-SAMPA phoneme mappings.
.	.
ˈ	"
ˌ	%
ˀ	_?
(ã)	(a~)
(bʲ)	(b_j)
(ɕ)	(s\)
(dʲ)	(d_j)
(ʣ̪)	(dz_d)
(e̞ː)	(e_o:)
(ə)	(@)
(ɛ̃)	(E~)
(ɛː)	(E:)
(ɡʲ)	(g_j)
(iː)	(i:)
(ie̞)	(ie_o)
(lʲ)	(l_j)
(nʲ)	(n_j)
(œ)	(9)
(œː)	(9:)
(ɔ̃)	(O~)
(ɔː)	(O:)
(sʲ)	(s_j)
(uː)	(u:)
(ɯɤ̞)	(M7_o)
(ɯi)	(Mi)
(yː)	(y:)
(ʑ)	(z\)
(ʒ)	(Z)
‖	||
|	|
|̬	|\_v
|̃	|\~
|̬|̬	|\|\_v
|̃|̃	|\|\~
||ʰ	|\|\_h
|̃|̃ʰ	|\|\~_h
|ʰ	|\_h
|̃ʰ	|\~_h
a	a
a̟	a
a̠	a_-
ä	a_"
å	a_0
a̰	a_k
ã̰	a_k~
a̤	a_t
ă	a_X
ã	a~
ã̤	a~_t
a˞	a`
a˞ː	a`:
a˞ˤ	a`_?\
a̠ː	a_-:
a̰ː	a_k:
a̤ː	a_t:
aː	a:
ãː	a:~
ãː	a:~
ã̤ː	a~_t:
ãː	a~:
âː	a:_F
áː	a:_H
àː	a:_L
â	a_F
á	a_H
à	a_L
aːi	a:i
aːɪ	a:I
aːj	a:j
aːu	a:u
aːɯ	a:M
aːʊ	a:U
a̰ˑ	a_k:\
a̤ˑ	a_t:\
aˑ	a:\
æ	{
æ̰	{_k
æ̞̃	{_o~
æ̤	{_t
æ̃	{~
ae	ae
ae̞	ae_o
æ̤ː	{_t:
æː	{:
æ̃ː	{:~
æ̃ː	{~:
æːː	{::
æːi	{:i
æːj	{:j
æːu	{:u
æːʊ	{:U
æːw	{:w
æe	{e
æ̃i	{~i
æi	{i
æ̃ɪ̃	{~I~
æɪ	{I
æj	{j
æo	{o
æu	{u
æʉ	{}
æw	{w
æˤ	{_?\
ãẽ̞ˤ	a~e_o~_?\
ae̞ˤ	ae_o_?\
aə	a@
ãɛ̃	a~E~
aɛ	aE
aˠ	a_G
aʰ	a_h
a̰ʰ	a_k_h
a̰ḭ	a_ki_k
a̤i̤	a_ti_t
ãi	a~i
ãĩ	a~i~
ai	ai
aiː	ai:
a̰ɪ̰	a_kI_k
aɪ	aI
aɪ̃	aI~
ãɪː	a~I:
aɨ	a1
aʲ	a_j
ãʲ	a~_j
ãj	a~j
aj	aj
aʲː	a_j:
âi	ai_F
ái	ai_H
ài	ai_L
ãõ	a~o~
ao	ao
ao̞	ao_o
ãõ̞ˤ	a~o~_o_?\
ao̞ˤ	ao_o_?\
aɔ	aO
aɵ	a8
a̰ṵ	a_ku_k
a̤ṳ	a_tu_t
ãũ	a~u~
au	au
auː	au:
âu	au_F
áu	au_H
àu	au_L
a̰ɯ̰	a_kM_k
a̤ɯ̤	a_tM_t
aɯ	aM
aɯ̃	aM~
aɰ	aM\
aʊ	aU
aʊ̃	aU~
ãw	a~w
ãw̃	a~w~
aw	aw
ay	ay
aˀ	a_?
aˤ	a_?\
ãˤ	a~_?\
aˤː	a_?\:
ãˤː	a~_?\:
ɐ	6
ɐ̯	6_^
ɐ̹	6_O
ɐ̆	6_X
ɐ̃	6~
ɐː	6:
ɐ̃i	6~i
ɐi	6i
ɐɪ	6I
ɐ̃u	6~u
ɐu	6u
ɐʊ	6U
ɐˤ	6_?\
ɑ	A
ɑ̈	A_"
ɑ̞	A_o
ɑ̤	A_t
ɑ̆	A_X
ɑ̃	A~
ɑ˞	A`
ɑ̈ː	A_":
ɑ̰ː	A_k:
ɑ̤ː	A_t:
ɑː	A:
ɑ̃ː	A:~
ɑ̃ː	A~:
ɑːː	A::
ɑːi	A:i
ɑːɨ	A:1
ɑːu	A:u
ɑːw	A:w
ɑɒ	AQ
ɑe	Ae
ɑ̃ĩ	A~i~
ɑi	Ai
ɑĩ	Ai~
ɑɪ	AI
ɑj	Aj
ɑj̃	Aj~
ɑ̃õ	A~o~
ɑo	Ao
ɑ̃ɔ̃	A~O~
ɑu	Au
ɑũ	Au~
ɑʊ	AU
ɑw	Aw
ɑw̃	Aw~
ɒ	Q
ɒ̤	Q_t
ɒ̃	Q~
ɒː	Q:
ɒ̃ː	Q~:
ɒːi	Q:i
b	b
b͉	b_}
b̩	b=
b̊	b_0
b̥	b_0
b̪	b_d
b̰	b_k
b̤	b_t
b̤̥	b_t_0
b̃	b~
b˞	b`
b͈ː	b_"\:
b̊ː	b_0:
b̥ː	b_0:
bː	b:
bb	bb
bɡ	bg
bˠ	b_G
bʰ	b_h
bʱ	b_h\
b̤ʱ	b_t_h\
bʲ	b_j
bʲ	b'
bʲː	b_j:
bⁿ	b_n
br	br
bɾ	b4
b̤v̤	b_tv_t
bv	bv
bvʷ	bv_w
bʷ	b_w
b̃ʷ	b~_w
bʷː	b_w:
bʷˠ	b_w_G
b̤z̤	b_tz_t
bz	bz
bzʷ	bz_w
bˀ	b_?
bʼ	b_>
bˤ	b_?\
bˤː	b_?\:
bβ	bB
ʙ	B\
ɓ	b_<
ɓ̊	b_<_0
ɓ̥	b_<_0
ɓ̊ː	b_<_0:
ɓ̥ː	b_<_0:
ɓː	b_<:
ɓʲ	b_<_j
ɓʷ	b_<_w
c	c
ç	C
c̰	c_k
c̤	c_t
cː	c:
çː	C:
cːʰ	c:_h
cc	cc
cç	cC
c͡ç	cC
cçː	cC:
cçʰ	cC_h
cçʷ	cC_w
cçʼ	cC_>
cɕ	cs\
cɕʰ	cs\_h
cʰ	c_h
çʰ	C_h
cʲ	c_j
